task_index,repetition,strategy,models_used,internals
6,2,expert-panel,kimi-k2-0905-preview|hf:Qwen/Qwen3.5-397B-A17B|deepseek-v4-pro|meta-llama/Llama-3.1-8B-Instruct,"[cost:provider_reported,confidence:high] [models: kimi-k2-0905-preview, hf:Qwen/Qwen3.5-397B-A17B, deepseek-v4-pro, meta-llama/Llama-3.1-8B-Instruct] [decider: meta-llama/Llama-3.1-8B-Instruct] [subcalls: expert-analysis:kimi-k2-0905-preview($0.0000/0ms), expert-synthesis:hf:Qwen/Qwen3.5-397B-A17B($0.0000/0ms), expert-verification:deepseek-v4-pro($0.6613/0ms), coordinator:meta-llama/Llama-3.1-8B-Instruct($0.0001/0ms)] [source: explicit] [chain: kimi-k2-0905-preview → hf:Qwen/Qwen3.5-397B-A17B → deepseek-v4-pro → meta-llama/Llama-3.1-8B-Instruct]"
14,1,expert-panel,kimi-k2-0905-preview|hf:Qwen/Qwen3.5-397B-A17B|meta-llama/Llama-3.1-8B-Instruct|mistralai/ministral-14b-instruct-2512,"[cost:provider_reported,confidence:high] [models: kimi-k2-0905-preview, hf:Qwen/Qwen3.5-397B-A17B, meta-llama/Llama-3.1-8B-Instruct, mistralai/ministral-14b-instruct-2512] [decider: mistralai/ministral-14b-instruct-2512] [subcalls: expert-analysis:kimi-k2-0905-preview($0.0000/0ms), expert-synthesis:hf:Qwen/Qwen3.5-397B-A17B($0.0000/0ms), expert-verification:meta-llama/Llama-3.1-8B-Instruct($0.0000/0ms), coordinator:mistralai/ministral-14b-instruct-2512($0.0000/0ms)] [source: explicit] [chain: kimi-k2-0905-preview → hf:Qwen/Qwen3.5-397B-A17B → meta-llama/Llama-3.1-8B-Instruct → mistralai/ministral-14b-instruct-2512]"
14,2,expert-panel,phala/gpt-oss-120b|kimi-k2-0905-preview|hf:Qwen/Qwen3.5-397B-A17B|openai/gpt-oss-120b,"[cost:provider_reported,confidence:high] [models: phala/gpt-oss-120b, kimi-k2-0905-preview, hf:Qwen/Qwen3.5-397B-A17B, openai/gpt-oss-120b] [decider: openai/gpt-oss-120b] [subcalls: expert-analysis:phala/gpt-oss-120b($0.0000/0ms), expert-synthesis:kimi-k2-0905-preview($0.0000/0ms), expert-verification:hf:Qwen/Qwen3.5-397B-A17B($0.0000/0ms), coordinator:openai/gpt-oss-120b($0.0004/0ms)] [source: explicit] [chain: phala/gpt-oss-120b → kimi-k2-0905-preview → hf:Qwen/Qwen3.5-397B-A17B → openai/gpt-oss-120b]"
15,1,expert-panel,phala/gpt-oss-120b|kimi-k2-0905-preview|hf:Qwen/Qwen3.5-397B-A17B|meta-llama/Llama-3.1-8B-Instruct,"[cost:provider_reported,confidence:high] [models: phala/gpt-oss-120b, kimi-k2-0905-preview, hf:Qwen/Qwen3.5-397B-A17B, meta-llama/Llama-3.1-8B-Instruct] [decider: meta-llama/Llama-3.1-8B-Instruct] [subcalls: expert-analysis:phala/gpt-oss-120b($0.0000/0ms), expert-synthesis:kimi-k2-0905-preview($0.0000/0ms), expert-verification:hf:Qwen/Qwen3.5-397B-A17B($0.0000/0ms), coordinator:meta-llama/Llama-3.1-8B-Instruct($0.0000/0ms)] [source: explicit] [chain: phala/gpt-oss-120b → kimi-k2-0905-preview → hf:Qwen/Qwen3.5-397B-A17B → meta-llama/Llama-3.1-8B-Instruct]"
15,2,expert-panel,kimi-k2-0905-preview|meta-llama/Llama-3.1-8B-Instruct|hf:Qwen/Qwen3.5-397B-A17B|deepseek-v4-pro,"[cost:provider_reported,confidence:high] [models: kimi-k2-0905-preview, meta-llama/Llama-3.1-8B-Instruct, hf:Qwen/Qwen3.5-397B-A17B, deepseek-v4-pro] [decider: deepseek-v4-pro] [subcalls: expert-analysis:kimi-k2-0905-preview($0.0000/0ms), expert-synthesis:meta-llama/Llama-3.1-8B-Instruct($0.0000/0ms), expert-verification:hf:Qwen/Qwen3.5-397B-A17B($0.0000/0ms), coordinator:deepseek-v4-pro($1.0463/0ms)] [source: explicit] [chain: kimi-k2-0905-preview → meta-llama/Llama-3.1-8B-Instruct → hf:Qwen/Qwen3.5-397B-A17B → deepseek-v4-pro]"
16,1,expert-panel,phala/gpt-oss-120b|kimi-k2-0905-preview|hf:Qwen/Qwen3.5-397B-A17B|Qwen/Qwen3-8B,"[cost:provider_reported,confidence:high] [models: phala/gpt-oss-120b, kimi-k2-0905-preview, hf:Qwen/Qwen3.5-397B-A17B, Qwen/Qwen3-8B] [decider: Qwen/Qwen3-8B] [subcalls: expert-analysis:phala/gpt-oss-120b($0.0000/0ms), expert-synthesis:kimi-k2-0905-preview($0.0000/0ms), expert-verification:hf:Qwen/Qwen3.5-397B-A17B($0.0000/0ms), coordinator:Qwen/Qwen3-8B($0.0005/0ms)] [source: explicit] [chain: phala/gpt-oss-120b → kimi-k2-0905-preview → hf:Qwen/Qwen3.5-397B-A17B → Qwen/Qwen3-8B]"
16,2,expert-panel,kimi-k2-0905-preview|hf:Qwen/Qwen3.5-397B-A17B|mistral-large-latest|qwen3-max-preview,"[cost:provider_reported,confidence:high] [models: kimi-k2-0905-preview, hf:Qwen/Qwen3.5-397B-A17B, mistral-large-latest, qwen3-max-preview] [decider: qwen3-max-preview] [subcalls: expert-analysis:kimi-k2-0905-preview($0.0000/0ms), expert-synthesis:hf:Qwen/Qwen3.5-397B-A17B($0.0000/0ms), expert-verification:mistral-large-latest($0.0082/0ms), coordinator:qwen3-max-preview($0.9705/0ms)] [source: explicit] [chain: kimi-k2-0905-preview → hf:Qwen/Qwen3.5-397B-A17B → mistral-large-latest → qwen3-max-preview]"
21,1,expert-panel,phala/gpt-oss-120b|kimi-k2-0905-preview|hf:Qwen/Qwen3.5-397B-A17B|meta-llama/Llama-3.1-8B-Instruct,"[cost:provider_reported,confidence:high] [models: phala/gpt-oss-120b, kimi-k2-0905-preview, hf:Qwen/Qwen3.5-397B-A17B, meta-llama/Llama-3.1-8B-Instruct] [decider: meta-llama/Llama-3.1-8B-Instruct] [subcalls: expert-analysis:phala/gpt-oss-120b($0.0000/0ms), expert-synthesis:kimi-k2-0905-preview($0.0000/0ms), expert-verification:hf:Qwen/Qwen3.5-397B-A17B($0.0000/0ms), coordinator:meta-llama/Llama-3.1-8B-Instruct($0.0000/0ms)] [source: explicit] [chain: phala/gpt-oss-120b → kimi-k2-0905-preview → hf:Qwen/Qwen3.5-397B-A17B → meta-llama/Llama-3.1-8B-Instruct]"
21,2,expert-panel,kimi-k2-0905-preview|hf:Qwen/Qwen3.5-397B-A17B|meta-llama/Llama-3.1-8B-Instruct|deepseek-v4-pro,"[cost:provider_reported,confidence:high] [models: kimi-k2-0905-preview, hf:Qwen/Qwen3.5-397B-A17B, meta-llama/Llama-3.1-8B-Instruct, deepseek-v4-pro] [decider: deepseek-v4-pro] [subcalls: expert-analysis:kimi-k2-0905-preview($0.0000/0ms), expert-synthesis:hf:Qwen/Qwen3.5-397B-A17B($0.0000/0ms), expert-verification:meta-llama/Llama-3.1-8B-Instruct($0.0000/0ms), coordinator:deepseek-v4-pro($0.1690/0ms)] [source: explicit] [chain: kimi-k2-0905-preview → hf:Qwen/Qwen3.5-397B-A17B → meta-llama/Llama-3.1-8B-Instruct → deepseek-v4-pro]"
26,1,expert-panel,kimi-k2-0905-preview|hf:Qwen/Qwen3.5-397B-A17B|codestral-latest|mistralai/ministral-14b-instruct-2512,"[cost:provider_reported,confidence:high] [models: kimi-k2-0905-preview, hf:Qwen/Qwen3.5-397B-A17B, codestral-latest, mistralai/ministral-14b-instruct-2512] [decider: mistralai/ministral-14b-instruct-2512] [subcalls: expert-analysis:kimi-k2-0905-preview($0.0000/0ms), expert-synthesis:hf:Qwen/Qwen3.5-397B-A17B($0.0000/0ms), expert-verification:codestral-latest($0.0007/0ms), coordinator:mistralai/ministral-14b-instruct-2512($0.0000/0ms)] [source: explicit] [chain: kimi-k2-0905-preview → hf:Qwen/Qwen3.5-397B-A17B → codestral-latest → mistralai/ministral-14b-instruct-2512]"
26,2,expert-panel,kimi-k2-0905-preview|hf:Qwen/Qwen3.5-397B-A17B|openai/gpt-oss-120b|qwen3-max-preview,"[cost:provider_reported,confidence:high] [models: kimi-k2-0905-preview, hf:Qwen/Qwen3.5-397B-A17B, openai/gpt-oss-120b, qwen3-max-preview] [decider: qwen3-max-preview] [subcalls: expert-analysis:kimi-k2-0905-preview($0.0000/0ms), expert-synthesis:hf:Qwen/Qwen3.5-397B-A17B($0.0000/0ms), expert-verification:openai/gpt-oss-120b($0.0002/0ms), coordinator:qwen3-max-preview($0.9040/0ms)] [source: explicit] [chain: kimi-k2-0905-preview → hf:Qwen/Qwen3.5-397B-A17B → openai/gpt-oss-120b → qwen3-max-preview]"
28,1,expert-panel,phala/gpt-oss-120b|kimi-k2-0905-preview|hf:Qwen/Qwen3.5-397B-A17B|Qwen/Qwen3-8B,"[cost:provider_reported,confidence:high] [models: phala/gpt-oss-120b, kimi-k2-0905-preview, hf:Qwen/Qwen3.5-397B-A17B, Qwen/Qwen3-8B] [decider: Qwen/Qwen3-8B] [subcalls: expert-analysis:phala/gpt-oss-120b($0.0000/0ms), expert-synthesis:kimi-k2-0905-preview($0.0000/0ms), expert-verification:hf:Qwen/Qwen3.5-397B-A17B($0.0000/0ms), coordinator:Qwen/Qwen3-8B($0.0015/0ms)] [source: explicit] [chain: phala/gpt-oss-120b → kimi-k2-0905-preview → hf:Qwen/Qwen3.5-397B-A17B → Qwen/Qwen3-8B]"
28,2,expert-panel,kimi-k2-0905-preview|hf:Qwen/Qwen3.5-397B-A17B|mistral-large-latest|Qwen/Qwen3-8B,"[cost:provider_reported,confidence:high] [models: kimi-k2-0905-preview, hf:Qwen/Qwen3.5-397B-A17B, mistral-large-latest, Qwen/Qwen3-8B] [decider: Qwen/Qwen3-8B] [subcalls: expert-analysis:kimi-k2-0905-preview($0.0000/0ms), expert-synthesis:hf:Qwen/Qwen3.5-397B-A17B($0.0000/0ms), expert-verification:mistral-large-latest($0.0078/0ms), coordinator:Qwen/Qwen3-8B($0.0005/0ms)] [source: explicit] [chain: kimi-k2-0905-preview → hf:Qwen/Qwen3.5-397B-A17B → mistral-large-latest → Qwen/Qwen3-8B]"
34,1,expert-panel,phala/gpt-oss-120b|kimi-k2-0905-preview|hf:Qwen/Qwen3.5-397B-A17B|Qwen/Qwen3-8B,"[cost:provider_reported,confidence:high] [models: phala/gpt-oss-120b, kimi-k2-0905-preview, hf:Qwen/Qwen3.5-397B-A17B, Qwen/Qwen3-8B] [decider: Qwen/Qwen3-8B] [subcalls: expert-analysis:phala/gpt-oss-120b($0.0000/0ms), expert-synthesis:kimi-k2-0905-preview($0.0000/0ms), expert-verification:hf:Qwen/Qwen3.5-397B-A17B($0.0000/0ms), coordinator:Qwen/Qwen3-8B($0.0003/0ms)] [source: explicit] [chain: phala/gpt-oss-120b → kimi-k2-0905-preview → hf:Qwen/Qwen3.5-397B-A17B → Qwen/Qwen3-8B]"
34,2,expert-panel,kimi-k2-0905-preview|hf:Qwen/Qwen3.5-397B-A17B|mistral-large-latest|qwen3-max-preview,"[cost:provider_reported,confidence:high] [models: kimi-k2-0905-preview, hf:Qwen/Qwen3.5-397B-A17B, mistral-large-latest, qwen3-max-preview] [decider: qwen3-max-preview] [subcalls: expert-analysis:kimi-k2-0905-preview($0.0000/0ms), expert-synthesis:hf:Qwen/Qwen3.5-397B-A17B($0.0000/0ms), expert-verification:mistral-large-latest($0.0064/0ms), coordinator:qwen3-max-preview($0.9420/0ms)] [source: explicit] [chain: kimi-k2-0905-preview → hf:Qwen/Qwen3.5-397B-A17B → mistral-large-latest → qwen3-max-preview]"
39,1,expert-panel,phala/gpt-oss-120b|kimi-k2-0905-preview|hf:Qwen/Qwen3.5-397B-A17B|meta-llama/Llama-3.1-8B-Instruct,"[cost:provider_reported,confidence:high] [models: phala/gpt-oss-120b, kimi-k2-0905-preview, hf:Qwen/Qwen3.5-397B-A17B, meta-llama/Llama-3.1-8B-Instruct] [decider: meta-llama/Llama-3.1-8B-Instruct] [subcalls: expert-analysis:phala/gpt-oss-120b($0.0000/0ms), expert-synthesis:kimi-k2-0905-preview($0.0000/0ms), expert-verification:hf:Qwen/Qwen3.5-397B-A17B($0.0000/0ms), coordinator:meta-llama/Llama-3.1-8B-Instruct($0.0000/0ms)] [source: explicit] [chain: phala/gpt-oss-120b → kimi-k2-0905-preview → hf:Qwen/Qwen3.5-397B-A17B → meta-llama/Llama-3.1-8B-Instruct]"
39,2,expert-panel,kimi-k2-0905-preview|hf:Qwen/Qwen3.5-397B-A17B|meta-llama/Llama-3.1-8B-Instruct|openai/gpt-oss-120b,"[cost:provider_reported,confidence:high] [models: kimi-k2-0905-preview, hf:Qwen/Qwen3.5-397B-A17B, meta-llama/Llama-3.1-8B-Instruct, openai/gpt-oss-120b] [decider: openai/gpt-oss-120b] [subcalls: expert-analysis:kimi-k2-0905-preview($0.0000/0ms), expert-synthesis:hf:Qwen/Qwen3.5-397B-A17B($0.0000/0ms), expert-verification:meta-llama/Llama-3.1-8B-Instruct($0.0000/0ms), coordinator:openai/gpt-oss-120b($0.0002/0ms)] [source: explicit] [chain: kimi-k2-0905-preview → hf:Qwen/Qwen3.5-397B-A17B → meta-llama/Llama-3.1-8B-Instruct → openai/gpt-oss-120b]"
46,1,expert-panel,kimi-k2-0905-preview|hf:Qwen/Qwen3.5-397B-A17B|codestral-latest|mistralai/ministral-14b-instruct-2512,"[cost:provider_reported,confidence:high] [models: kimi-k2-0905-preview, hf:Qwen/Qwen3.5-397B-A17B, codestral-latest, mistralai/ministral-14b-instruct-2512] [decider: mistralai/ministral-14b-instruct-2512] [subcalls: expert-analysis:kimi-k2-0905-preview($0.0000/0ms), expert-synthesis:hf:Qwen/Qwen3.5-397B-A17B($0.0000/0ms), expert-verification:codestral-latest($0.0006/0ms), coordinator:mistralai/ministral-14b-instruct-2512($0.0000/0ms)] [source: explicit] [chain: kimi-k2-0905-preview → hf:Qwen/Qwen3.5-397B-A17B → codestral-latest → mistralai/ministral-14b-instruct-2512]"
46,2,expert-panel,kimi-k2-0905-preview|hf:Qwen/Qwen3.5-397B-A17B|openai/gpt-oss-120b|qwen3-max-preview,"[cost:provider_reported,confidence:high] [models: kimi-k2-0905-preview, hf:Qwen/Qwen3.5-397B-A17B, openai/gpt-oss-120b, qwen3-max-preview] [decider: qwen3-max-preview] [subcalls: expert-analysis:kimi-k2-0905-preview($0.0000/0ms), expert-synthesis:hf:Qwen/Qwen3.5-397B-A17B($0.0000/0ms), expert-verification:openai/gpt-oss-120b($0.0002/0ms), coordinator:qwen3-max-preview($1.0717/0ms)] [source: explicit] [chain: kimi-k2-0905-preview → hf:Qwen/Qwen3.5-397B-A17B → openai/gpt-oss-120b → qwen3-max-preview]"
47,1,expert-panel,phala/gpt-oss-120b|kimi-k2-0905-preview|hf:Qwen/Qwen3.5-397B-A17B|meta-llama/Llama-3.1-8B-Instruct,"[cost:provider_reported,confidence:high] [models: phala/gpt-oss-120b, kimi-k2-0905-preview, hf:Qwen/Qwen3.5-397B-A17B, meta-llama/Llama-3.1-8B-Instruct] [decider: meta-llama/Llama-3.1-8B-Instruct] [subcalls: expert-analysis:phala/gpt-oss-120b($0.0000/0ms), expert-synthesis:kimi-k2-0905-preview($0.0000/0ms), expert-verification:hf:Qwen/Qwen3.5-397B-A17B($0.0000/0ms), coordinator:meta-llama/Llama-3.1-8B-Instruct($0.0000/0ms)] [source: explicit] [chain: phala/gpt-oss-120b → kimi-k2-0905-preview → hf:Qwen/Qwen3.5-397B-A17B → meta-llama/Llama-3.1-8B-Instruct]"
47,2,expert-panel,deepseek-v4-pro|kimi-k2-0905-preview|hf:Qwen/Qwen3.5-397B-A17B|meta-llama/Llama-3.1-8B-Instruct,"[cost:provider_reported,confidence:high] [models: deepseek-v4-pro, kimi-k2-0905-preview, hf:Qwen/Qwen3.5-397B-A17B, meta-llama/Llama-3.1-8B-Instruct] [decider: meta-llama/Llama-3.1-8B-Instruct] [subcalls: expert-analysis:deepseek-v4-pro($0.2082/0ms), expert-synthesis:kimi-k2-0905-preview($0.0000/0ms), expert-verification:hf:Qwen/Qwen3.5-397B-A17B($0.0000/0ms), coordinator:meta-llama/Llama-3.1-8B-Instruct($0.0000/0ms)] [source: explicit] [chain: deepseek-v4-pro → kimi-k2-0905-preview → hf:Qwen/Qwen3.5-397B-A17B → meta-llama/Llama-3.1-8B-Instruct]"
48,1,expert-panel,phala/gpt-oss-120b|kimi-k2-0905-preview|hf:Qwen/Qwen3.5-397B-A17B|meta-llama/Llama-3.1-8B-Instruct,"[cost:provider_reported,confidence:high] [models: phala/gpt-oss-120b, kimi-k2-0905-preview, hf:Qwen/Qwen3.5-397B-A17B, meta-llama/Llama-3.1-8B-Instruct] [decider: meta-llama/Llama-3.1-8B-Instruct] [subcalls: expert-analysis:phala/gpt-oss-120b($0.0007/0ms), expert-synthesis:kimi-k2-0905-preview($0.0000/0ms), expert-verification:hf:Qwen/Qwen3.5-397B-A17B($0.0000/0ms), coordinator:meta-llama/Llama-3.1-8B-Instruct($0.0000/0ms)] [source: explicit] [chain: phala/gpt-oss-120b → kimi-k2-0905-preview → hf:Qwen/Qwen3.5-397B-A17B → meta-llama/Llama-3.1-8B-Instruct]"
48,2,expert-panel,kimi-k2-0905-preview|hf:Qwen/Qwen3.5-397B-A17B|mistral-large-latest|qwen3-max-preview,"[cost:provider_reported,confidence:high] [models: kimi-k2-0905-preview, hf:Qwen/Qwen3.5-397B-A17B, mistral-large-latest, qwen3-max-preview] [decider: qwen3-max-preview] [subcalls: expert-analysis:kimi-k2-0905-preview($0.0000/0ms), expert-synthesis:hf:Qwen/Qwen3.5-397B-A17B($0.0000/0ms), expert-verification:mistral-large-latest($0.0065/0ms), coordinator:qwen3-max-preview($0.6620/0ms)] [source: explicit] [chain: kimi-k2-0905-preview → hf:Qwen/Qwen3.5-397B-A17B → mistral-large-latest → qwen3-max-preview]"
57,1,expert-panel,kimi-k2-0905-preview|hf:Qwen/Qwen3.5-397B-A17B|codestral-latest|mistralai/ministral-14b-instruct-2512|fireworks_ai/glm-4p7,"[cost:provider_reported,confidence:high] [models: kimi-k2-0905-preview, hf:Qwen/Qwen3.5-397B-A17B, codestral-latest, mistralai/ministral-14b-instruct-2512, fireworks_ai/glm-4p7] [decider: codestral-latest] [subcalls: expert-analysis:kimi-k2-0905-preview($0.0000/0ms), expert-synthesis:hf:Qwen/Qwen3.5-397B-A17B($0.0000/0ms), expert-verification:codestral-latest($0.0008/0ms), coordinator:mistralai/ministral-14b-instruct-2512($0.0000/0ms), expert-analysis:fireworks_ai/glm-4p7($0.0000/0ms), expert-synthesis:kimi-k2-0905-preview($0.0000/0ms), expert-verification:hf:Qwen/Qwen3.5-397B-A17B($0.0000/0ms), coordinator:codestral-latest($0.0015/0ms)] [source: explicit] [chain: kimi-k2-0905-preview → hf:Qwen/Qwen3.5-397B-A17B → codestral-latest → mistralai/ministral-14b-instruct-2512 → fireworks_ai/glm-4p7]"
57,2,expert-panel,kimi-k2-0905-preview|hf:Qwen/Qwen3.5-397B-A17B|openai/gpt-oss-120b|qwen3-max-preview,"[cost:provider_reported,confidence:high] [models: kimi-k2-0905-preview, hf:Qwen/Qwen3.5-397B-A17B, openai/gpt-oss-120b, qwen3-max-preview] [decider: qwen3-max-preview] [subcalls: expert-analysis:kimi-k2-0905-preview($0.0000/0ms), expert-synthesis:hf:Qwen/Qwen3.5-397B-A17B($0.0000/0ms), expert-verification:openai/gpt-oss-120b($0.0002/0ms), coordinator:qwen3-max-preview($2.9215/0ms)] [source: explicit] [chain: kimi-k2-0905-preview → hf:Qwen/Qwen3.5-397B-A17B → openai/gpt-oss-120b → qwen3-max-preview]"
62,1,expert-panel,kimi-k2-0905-preview|hf:Qwen/Qwen3.5-397B-A17B|codestral-latest|mistralai/ministral-14b-instruct-2512,"[cost:provider_reported,confidence:high] [models: kimi-k2-0905-preview, hf:Qwen/Qwen3.5-397B-A17B, codestral-latest, mistralai/ministral-14b-instruct-2512] [decider: mistralai/ministral-14b-instruct-2512] [subcalls: expert-analysis:kimi-k2-0905-preview($0.0000/0ms), expert-synthesis:hf:Qwen/Qwen3.5-397B-A17B($0.0000/0ms), expert-verification:codestral-latest($0.0008/0ms), coordinator:mistralai/ministral-14b-instruct-2512($0.0000/0ms)] [source: explicit] [chain: kimi-k2-0905-preview → hf:Qwen/Qwen3.5-397B-A17B → codestral-latest → mistralai/ministral-14b-instruct-2512]"
62,2,expert-panel,kimi-k2-0905-preview|hf:Qwen/Qwen3.5-397B-A17B|qwen3-max-preview|openai/gpt-oss-120b,"[cost:provider_reported,confidence:high] [models: kimi-k2-0905-preview, hf:Qwen/Qwen3.5-397B-A17B, qwen3-max-preview, openai/gpt-oss-120b] [decider: openai/gpt-oss-120b] [subcalls: expert-analysis:kimi-k2-0905-preview($0.0000/0ms), expert-synthesis:hf:Qwen/Qwen3.5-397B-A17B($0.0000/0ms), expert-verification:qwen3-max-preview($2.2618/0ms), coordinator:openai/gpt-oss-120b($0.0009/0ms)] [source: explicit] [chain: kimi-k2-0905-preview → hf:Qwen/Qwen3.5-397B-A17B → qwen3-max-preview → openai/gpt-oss-120b]"
98,1,expert-panel,kimi-k2-0905-preview|hf:Qwen/Qwen3.5-397B-A17B|Qwen/Qwen3-8B|mistralai/ministral-14b-instruct-2512,"[cost:provider_reported,confidence:high] [models: kimi-k2-0905-preview, hf:Qwen/Qwen3.5-397B-A17B, Qwen/Qwen3-8B, mistralai/ministral-14b-instruct-2512] [decider: mistralai/ministral-14b-instruct-2512] [subcalls: expert-analysis:kimi-k2-0905-preview($0.0000/0ms), expert-synthesis:hf:Qwen/Qwen3.5-397B-A17B($0.0000/0ms), expert-verification:Qwen/Qwen3-8B($0.0001/0ms), coordinator:mistralai/ministral-14b-instruct-2512($0.0000/0ms)] [source: explicit] [chain: kimi-k2-0905-preview → hf:Qwen/Qwen3.5-397B-A17B → Qwen/Qwen3-8B → mistralai/ministral-14b-instruct-2512]"
98,2,expert-panel,kimi-k2-0905-preview|hf:Qwen/Qwen3.5-397B-A17B|mistralai/mistral-large-3-675b-instruct-2512|mistralai/ministral-14b-instruct-2512,"[cost:provider_reported,confidence:high] [models: kimi-k2-0905-preview, hf:Qwen/Qwen3.5-397B-A17B, mistralai/mistral-large-3-675b-instruct-2512, mistralai/ministral-14b-instruct-2512] [decider: mistralai/ministral-14b-instruct-2512] [subcalls: expert-analysis:kimi-k2-0905-preview($0.0000/0ms), expert-synthesis:hf:Qwen/Qwen3.5-397B-A17B($0.0000/0ms), expert-verification:mistralai/mistral-large-3-675b-instruct-2512($0.0000/0ms), coordinator:mistralai/ministral-14b-instruct-2512($0.0000/0ms)] [source: explicit] [chain: kimi-k2-0905-preview → hf:Qwen/Qwen3.5-397B-A17B → mistralai/mistral-large-3-675b-instruct-2512 → mistralai/ministral-14b-instruct-2512]"
102,1,expert-panel,"","[cost:missing,confidence:none] [ERROR] HTTP 422 [capability_dependency_unavailable] Video orchestration exhausted 6 candidate model(s) without success"
102,2,expert-panel,"","[cost:missing,confidence:none] [ERROR] HTTP 422 [capability_dependency_unavailable] Video orchestration exhausted 6 candidate model(s) without success"
112,1,expert-panel,kimi-k2-0905-preview|hf:Qwen/Qwen3.5-397B-A17B|mistralai/mistral-large-3-675b-instruct-2512|codestral-latest,"[cost:provider_reported,confidence:high] [models: kimi-k2-0905-preview, hf:Qwen/Qwen3.5-397B-A17B, mistralai/mistral-large-3-675b-instruct-2512, codestral-latest] [decider: codestral-latest] [subcalls: expert-analysis:kimi-k2-0905-preview($0.0000/0ms), expert-synthesis:hf:Qwen/Qwen3.5-397B-A17B($0.0000/0ms), expert-verification:mistralai/mistral-large-3-675b-instruct-2512($0.0000/0ms), coordinator:codestral-latest($0.0010/0ms)] [source: explicit] [chain: kimi-k2-0905-preview → hf:Qwen/Qwen3.5-397B-A17B → mistralai/mistral-large-3-675b-instruct-2512 → codestral-latest]"
112,2,expert-panel,kimi-k2-0905-preview|hf:Qwen/Qwen3.5-397B-A17B|mistralai/ministral-14b-instruct-2512|codestral-latest,"[cost:provider_reported,confidence:high] [models: kimi-k2-0905-preview, hf:Qwen/Qwen3.5-397B-A17B, mistralai/ministral-14b-instruct-2512, codestral-latest] [decider: codestral-latest] [subcalls: expert-analysis:kimi-k2-0905-preview($0.0000/0ms), expert-synthesis:hf:Qwen/Qwen3.5-397B-A17B($0.0000/0ms), expert-verification:mistralai/ministral-14b-instruct-2512($0.0000/0ms), coordinator:codestral-latest($0.0010/0ms)] [source: explicit] [chain: kimi-k2-0905-preview → hf:Qwen/Qwen3.5-397B-A17B → mistralai/ministral-14b-instruct-2512 → codestral-latest]"
116,1,expert-panel,phala/gpt-oss-120b|kimi-k2-0905-preview|hf:Qwen/Qwen3.5-397B-A17B|Qwen/Qwen3-8B,"[cost:provider_reported,confidence:high] [models: phala/gpt-oss-120b, kimi-k2-0905-preview, hf:Qwen/Qwen3.5-397B-A17B, Qwen/Qwen3-8B] [decider: Qwen/Qwen3-8B] [subcalls: expert-analysis:phala/gpt-oss-120b($0.0000/0ms), expert-synthesis:kimi-k2-0905-preview($0.0000/0ms), expert-verification:hf:Qwen/Qwen3.5-397B-A17B($0.0000/0ms), coordinator:Qwen/Qwen3-8B($0.0001/0ms)] [source: explicit] [chain: phala/gpt-oss-120b → kimi-k2-0905-preview → hf:Qwen/Qwen3.5-397B-A17B → Qwen/Qwen3-8B]"
116,2,expert-panel,kimi-k2-0905-preview|hf:Qwen/Qwen3.5-397B-A17B|deepseek-v4-pro|mistral-large-latest,"[cost:provider_reported,confidence:high] [models: kimi-k2-0905-preview, hf:Qwen/Qwen3.5-397B-A17B, deepseek-v4-pro, mistral-large-latest] [decider: mistral-large-latest] [subcalls: expert-analysis:kimi-k2-0905-preview($0.0000/0ms), expert-synthesis:hf:Qwen/Qwen3.5-397B-A17B($0.0000/0ms), expert-verification:deepseek-v4-pro($0.2082/0ms), coordinator:mistral-large-latest($0.0026/0ms)] [source: explicit] [chain: kimi-k2-0905-preview → hf:Qwen/Qwen3.5-397B-A17B → deepseek-v4-pro → mistral-large-latest]"
117,1,expert-panel,phala/gpt-oss-120b|kimi-k2-0905-preview|hf:Qwen/Qwen3.5-397B-A17B|deepseek-v4-pro,"[cost:provider_reported,confidence:high] [models: phala/gpt-oss-120b, kimi-k2-0905-preview, hf:Qwen/Qwen3.5-397B-A17B, deepseek-v4-pro] [decider: deepseek-v4-pro] [subcalls: expert-analysis:phala/gpt-oss-120b($0.0000/0ms), expert-synthesis:kimi-k2-0905-preview($0.0000/0ms), expert-verification:hf:Qwen/Qwen3.5-397B-A17B($0.0000/0ms), coordinator:deepseek-v4-pro($0.2530/0ms)] [source: explicit] [chain: phala/gpt-oss-120b → kimi-k2-0905-preview → hf:Qwen/Qwen3.5-397B-A17B → deepseek-v4-pro]"
117,2,expert-panel,kimi-k2-0905-preview|hf:Qwen/Qwen3.5-397B-A17B|openai/gpt-oss-120b|mistral-large-latest,"[cost:provider_reported,confidence:high] [models: kimi-k2-0905-preview, hf:Qwen/Qwen3.5-397B-A17B, openai/gpt-oss-120b, mistral-large-latest] [decider: mistral-large-latest] [subcalls: expert-analysis:kimi-k2-0905-preview($0.0000/0ms), expert-synthesis:hf:Qwen/Qwen3.5-397B-A17B($0.0000/0ms), expert-verification:openai/gpt-oss-120b($0.0001/0ms), coordinator:mistral-large-latest($0.0037/0ms)] [source: explicit] [chain: kimi-k2-0905-preview → hf:Qwen/Qwen3.5-397B-A17B → openai/gpt-oss-120b → mistral-large-latest]"
